Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
timestamp,$/MWh,MW,MW,MW,MW,string
none,linear,linear,linear,linear,linear,step
,,,90day,,,
07/06/2018 22:30,91.21345,8873.83,7016.99774,400.80226,-1414.05,Forecast
07/06/2018 23:00,87.99161,8591.74,6990.00274,405.71726,-1163.4,Forecast
07/06/2018 23:30,66.94833,8468.51,6892.97074,397.16926,-1145.51,Forecast
08/06/2018 00:00,63.01448,8314.71,6873.67574,429.35426,-993.61,Forecast
08/06/2018 00:30,61,8193.09,6385.92174,449.99826,-1315.88,Forecast
08/06/2018 01:00,58,8023.64,6049.21574,415.33426,-1498.49,Forecast
08/06/2018 01:30,59.4494,7819.84,5675.99774,419.67226,-1648.26,Forecast
08/06/2018 02:00,62.51,7592.02,5299.93774,430.28226,-1771.26,Forecast
08/06/2018 02:30,58,7272.19,4875.17574,443.90426,-1850.33,Forecast
08/06/2018 03:00,52,6993.82,4739.83374,451.42626,-1706.84,Forecast
08/06/2018 03:30,48.01,6816.63,4570.81174,471.21826,-1677.78,Forecast
08/06/2018 04:00,48.01,6723.27,4533.75374,479.65626,-1614.61,Forecast
