Date-Time,Area_A_Optimizer,Area_A_Wet_Bulb,Area_A_Relative_Humidity,Area_A_Temperature,Area_A_Compressor_Power,Area_A_Compressor_Stage
2017-11-05T18:32:00,1.92057,77.2617785,47.04725,93.97395833,39.21925,STAGE 2
2017-11-05T18:34:00,1.18713,76.4196938,46.27338281,93.30579688,39.21676563,STAGE 2
2017-11-05T18:36:00,1.55334,75.99639184,46.33057031,92.74892188,39.57114063,STAGE 2
2017-11-05T18:38:00,1.22396,75.37212587,46.48606667,91.89486667,39.04633333,STAGE 2
2017-11-05T18:40:00,1.90016,75.7003299,47.55594915,91.7910678,38.94852542,STAGE 2
2017-11-05T18:42:00,1.23591,76.31151747,48.41047541,92.14216393,39.63134426,STAGE 2
2017-11-05T18:44:00,1.90313,76.61170301,48.612664,92.41632,39.32544,STAGE 2
2017-11-05T18:46:00,1.14208,77.29062459,48.85437288,93.13667797,39.06434746,STAGE 2
2017-11-05T18:48:00,0.05008,77.44640332,48.17118803,93.65501709,39.46860684,STAGE 2
2017-11-05T18:50:00,1.2244,76.94291819,47.13397479,93.53505042,39.64861345,STAGE 2
2017-11-05T18:52:00,1.89453,77.05017086,46.968475,93.749575,39.746675,STAGE 2
2017-11-05T18:54:00,1.2,77.17247759,46.808672,93.980632,39.276368,STAGE 2
2017-11-05T18:56:00,1.54937,77.00118938,46.71378151,93.81395798,38.81433613,STAGE 2
2017-11-05T18:58:00,1.20498,75.92783337,45.96237288,92.84395763,38.37361864,STAGE 2
2017-11-05T19:00:00,1.95313,75.59865422,46.03834167,92.39479167,38.596075,STAGE 2
2017-11-05T19:02:00,1.90717,75.78632867,46.40211765,92.45182353,38.65535294,STAGE 2
2017-11-05T19:04:00,1.2244,75.7723904,46.5062521,92.38392437,38.34147059,STAGE 2
2017-11-05T19:06:00,1.89688,76.07269963,47.29464,92.37692,39.047552,STAGE 2
2017-11-05T19:08:00,1.19881,76.32129899,47.74610345,92.46882759,39.48144828,STAGE 2
2017-11-05T19:10:00,1.90231,75.9928327,47.51576423,92.17222764,39.5258374,STAGE 2
2017-11-05T19:12:00,1.20526,75.83947861,47.41082051,92.03223077,39.56911966,STAGE 2
2017-11-05T19:14:00,1.90016,76.62691366,48.01013559,92.72062712,39.33974576,STAGE 2
2017-11-05T19:16:00,1.17188,76.88215075,47.63664516,93.21558065,39.81732258,STAGE 2
2017-11-05T19:18:00,1.17188,76.98370457,47.0923871,93.60654839,39.48519355,STAGE 2
2017-11-05T19:20:00,1.5918,77.01692392,46.23905,94.069425,39.256175,STAGE 2
2017-11-05T19:22:00,1.89453,76.3282196,45.670875,93.49045,38.615275,STAGE 2
2017-11-05T19:24:00,1.23047,75.99032097,45.8404,92.982425,38.650775,STAGE 2
2017-11-05T19:26:00,1.925,76.1970513,46.259504,93.034408,39.332568,STAGE 2
2017-11-05T19:28:00,1.54879,76.08350179,46.02659649,93.00714035,39.12303509,STAGE 2
2017-11-05T19:30:00,1.19958,76.13603569,45.82824823,93.17103546,39.90024113,STAGE 2
2017-11-05T19:32:00,1.53203,76.11339675,45.89122695,93.11146099,39.97513475,STAGE 2
2017-11-05T19:34:00,1.19792,76.24656919,45.89506667,93.2764,39.73813333,STAGE 2
2017-11-05T19:36:00,1.58854,76.20392132,45.71386667,93.313,39.33813333,STAGE 2
2017-11-05T19:38:00,1.90104,76.54731273,45.68126667,93.76026667,39.21066667,STAGE 2
2017-11-05T19:40:00,1.22484,76.50759686,45.2350678,93.93501695,39.36928814,STAGE 2
2017-11-05T19:42:00,1.88856,76.31076445,45.00889256,93.80152066,39.49576033,STAGE 2
