Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|003|1,7/13/2016 8:28,Batch,40.7,7.7957,97.9,3.85,5.489,0.715,5.038,1.221,7.326,312.95
01 CRT24,,JY-29-198|003|3,7/13/2016 8:28,Batch,40.7,7.7781,101.2,3.85,5.896,0.517,4.939,1.43,7.502,323.95
01 CRT24,,JY-29-198|003|5,7/13/2016 8:28,Batch,40.7,7.7924,100.1,3.85,5.929,0.605,4.961,1.441,7.535,322.3
01 CRT24,,JY-29-198|003|7,7/13/2016 8:28,Batch,40.7,7.8012,101.2,3.85,5.874,0.363,4.917,1.408,7.458,323.51
01 CRT24,,JY-29-198|003|9,7/13/2016 8:28,Batch,40.7,7.8155,100.1,3.85,5.896,0.484,4.928,1.419,7.458,321.75
01 CRT24,,JY-29-198|003|11,7/13/2016 8:28,Batch,40.7,7.854,99,3.85,5.863,0.396,4.972,1.408,7.414,319.22
01 CRT24,,JY-29-198|003|13,7/13/2016 8:28,Batch,40.7,7.8694,99,3.85,5.808,0.374,4.95,1.408,7.326,318.78
01 CRT24,,JY-29-198|003|15,7/13/2016 8:28,Batch,40.7,7.8958,99,3.85,6.149,0.429,4.906,1.397,7.612,321.09
01 CRT24,,JY-29-198|003|17,7/13/2016 8:28,Batch,40.7,7.8771,100.1,3.85,5.665,0.484,4.928,1.419,7.26,320.1
01 CRT24,,JY-29-198|003|19,7/13/2016 8:53,Batch,40.7,7.7869,103.4,3.85,5.709,0.726,4.895,1.309,7.513,325.71
01 CRT24,,JY-29-198|003|21,7/13/2016 8:53,Batch,40.7,7.7924,105.6,3.85,5.863,0.869,4.422,1.441,7.656,332.31
01 CRT24,,JY-29-198|003|23,7/13/2016 8:53,Batch,40.7,7.8034,110,3.85,5.973,0.385,5.005,1.441,7.799,341.44
01 CRT24,,JY-29-198|003|25,7/13/2016 8:53,Batch,40.7,7.8155,112.2,3.85,5.841,0.374,5.082,1.463,7.777,344.96
01 CRT24,,JY-29-198|003|27,7/13/2016 8:53,Batch,40.7,7.8232,115.5,3.96,6.039,0.308,5.06,1.474,8.008,352.99
01 CRT24,,JY-29-198|003|29,7/13/2016 8:53,Batch,40.7,7.887,99,3.85,6.105,0.682,4.917,1.441,7.612,321.31
