Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|002|6,6/13/2016 8:44,Batch,40.7,7.5471,110,1.87,3.542,0,0.341,1.782,2.464,318.12
01 CRT24,,JY-29-198|002|8,6/13/2016 8:44,Batch,40.7,7.5339,107.8,1.76,3.806,0,0.231,1.793,2.255,315.04
01 CRT24,,JY-29-198|002|10,6/13/2016 8:44,Batch,40.7,7.6076,105.6,1.76,3.608,0,0,1.804,2.376,310.2
01 CRT24,,JY-29-198|002|12,6/13/2016 8:44,Batch,40.7,7.6285,105.6,1.76,3.916,0,0,1.727,2.486,311.19
01 CRT24,,JY-29-198|002|14,6/13/2016 8:44,Batch,40.7,7.6219,103.4,1.76,3.652,0,0.396,1.793,2.376,306.24
01 CRT24,,JY-29-198|002|16,6/13/2016 8:44,Batch,40.7,7.6428,108.9,1.76,3.685,0,0.308,1.771,2.343,316.25
01 CRT24,,JY-29-198|002|18,6/13/2016 8:44,Batch,40.7,7.6472,106.7,1.87,3.597,0,0.275,1.76,2.255,311.63
01 CRT24,,JY-29-198|002|2,6/13/2016 8:44,Batch,40.7,7.5394,103.4,1.76,3.718,0,0,1.463,2.31,302.72
01 CRT24,,JY-29-198|002|4,6/13/2016 8:44,Batch,40.7,7.5207,107.8,1.87,3.718,0,0,1.804,2.75,315.81
01 CRT24,,JY-29-198|002|20,6/13/2016 9:28,Batch,40.7,7.5174,103.4,1.87,3.509,0,0,1.463,2.629,302.39
01 CRT24,,JY-29-198|002|22,6/13/2016 9:28,Batch,40.7,7.4613,105.6,1.32,5.324,0.528,4.928,1.969,2.321,320.65
01 CRT24,,JY-29-198|002|24,6/13/2016 9:28,Batch,40.7,7.5141,102.3,1.65,3.85,0,0,1.804,1.826,304.15
01 CRT24,,JY-29-198|002|26,6/13/2016 9:28,Batch,40.7,7.4932,145.2,1.76,3.19,0.737,0.363,1.881,3.564,384.56
01 CRT24,,JY-29-198|002|28,6/13/2016 9:28,Batch,40.7,7.6472,113.3,1.65,3.993,0,4.906,1.914,1.518,326.04
01 CRT24,,JY-29-198|002|30,6/13/2016 9:28,Batch,40.7,7.6032,178.2,1.98,6.105,3.476,3.729,1.958,5.885,467.72
01 CRT24,,JY-29-198|002|32,6/13/2016 9:28,Batch,40.7,7.5702,111.1,1.54,6.248,0,7.315,2.112,2.838,338.91
