Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|002|2,6/8/2016 8:42,Batch,40.7,7.7803,100.1,3.74,6.248,1.078,4.444,1.309,6.556,320.54
01 CRT24,,JY-29-198|002|4,6/8/2016 8:42,Batch,40.7,7.7671,103.4,3.74,6.215,0.528,5.148,1.606,6.853,330.33
01 CRT24,,JY-29-198|002|6,6/8/2016 8:42,Batch,40.7,7.7715,103.4,3.85,6.303,1.188,4.026,1.573,6.809,330.55
01 CRT24,,JY-29-198|002|8,6/8/2016 8:42,Batch,40.7,7.7704,102.3,3.85,6.149,0.517,5.038,1.595,6.82,327.91
01 CRT24,,JY-29-198|002|10,6/8/2016 8:42,Batch,40.7,7.8188,101.2,3.74,6.358,0,5.621,1.606,6.875,327.14
01 CRT24,,JY-29-198|002|12,6/8/2016 8:42,Batch,40.7,7.8232,102.3,3.74,6.358,0.286,5.445,1.595,6.886,329.01
01 CRT24,,JY-29-198|002|14,6/8/2016 8:42,Batch,40.7,7.8364,102.3,3.74,6.149,0,5.401,1.551,6.71,327.03
01 CRT24,,JY-29-198|002|16,6/8/2016 8:42,Batch,40.7,7.8551,102.3,3.85,6.116,0.957,4.334,1.584,6.765,327.58
01 CRT24,,JY-29-198|002|18,6/8/2016 8:42,Batch,40.7,7.8694,102.3,3.85,6.116,0.363,5.06,1.562,6.798,327.36
01 CRT24,,JY-29-198|002|20,6/8/2016 9:07,Batch,40.7,7.7649,102.3,3.74,5.973,1.012,4.224,1.386,6.82,324.5
01 CRT24,,JY-29-198|002|22,6/8/2016 9:07,Batch,40.7,7.7407,102.3,3.08,7.832,0.616,5.269,1.474,4.917,330.99
01 CRT24,,JY-29-198|002|24,6/8/2016 9:07,Batch,40.7,7.7825,101.2,3.74,6.303,0.385,5.192,1.584,6.842,326.48
01 CRT24,,JY-29-198|002|26,6/8/2016 9:07,Batch,40.7,7.7836,114.4,3.85,6.05,0,5.456,1.628,7.634,351.78
01 CRT24,,JY-29-198|002|28,6/8/2016 9:07,Batch,40.7,7.8221,104.5,3.85,6.061,0,5.962,1.738,6.897,333.3
01 CRT24,,JY-29-198|002|30,6/8/2016 9:07,Batch,40.7,7.7957,128.7,3.19,7.612,1.1,4.829,1.54,6.886,383.46
01 CRT24,,JY-29-198|002|32,6/8/2016 9:07,Batch,40.7,7.8925,106.7,3.19,7.678,0.836,6.215,1.661,5.467,341.66
