Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|006|1,5/12/2017 7:44,Batch,40.7,7.5251,121,1.54,4.202,1.727,0.308,1.782,3.465,343.42
01 CRT24,,JY-29-198|006|3,5/12/2017 7:44,Batch,40.7,7.733,119.9,1.43,3.641,1.551,0,1.76,3.102,337.15
01 CRT24,,JY-29-198|006|5,5/12/2017 7:44,Batch,40.7,7.6791,111.1,11.44,3.63,2.211,0,1.903,2.75,340.34
01 CRT24,,JY-29-198|006|7,5/12/2017 7:44,Batch,40.7,7.7143,112.2,11.22,3.366,2.123,0,1.947,2.486,340.45
01 CRT24,,JY-29-198|006|9,5/12/2017 7:44,Batch,40.7,7.8551,114.4,1.54,3.41,2.189,0,1.826,2.431,325.38
01 CRT24,,JY-29-198|006|11,5/12/2017 7:44,Batch,40.7,7.9255,114.4,1.21,3.311,1.969,0,1.859,2.475,324.61
01 CRT24,,JY-29-198|006|13,5/12/2017 7:44,Batch,40.7,7.8892,123.2,1.32,3.322,2.101,0,1.815,2.893,341.55
01 CRT24,,JY-29-198|006|15,5/12/2017 7:44,Batch,40.7,7.8793,125.4,1.1,3.157,1.859,0,1.958,2.794,345.73
01 CRT24,,JY-29-198|006|17,5/12/2017 7:44,Batch,40.7,7.9156,114.4,1.32,3.366,1.683,0,1.859,3.014,326.15
01 CRT24,,JY-29-198|006|19,5/12/2017 7:44,Batch,40.7,7.9244,116.6,0,3.575,1.54,0,1.969,2.739,0
01 CRT24,,JY-29-198|006|21,5/12/2017 7:44,Batch,40.7,7.9893,125.4,1.32,3.223,1.793,0,1.815,3.124,345.51
01 CRT24,,JY-29-198|006|23,5/12/2017 7:44,Batch,40.7,7.9475,136.4,1.1,3.41,1.386,0,1.958,2.981,367.95
