Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|002|21,6/17/2016 11:05,Batch,40.7,6.7485,100.1,3.85,9.977,0,0,2.871,5.39,356.62
01 CRT24,,JY-29-198|002|22,6/17/2016 11:05,Batch,40.7,6.6451,103.4,4.07,9.273,2.134,5.401,2.75,5.291,357.72
01 CRT24,,JY-29-198|002|23,6/17/2016 11:05,Batch,40.7,7.788,104.5,1.54,3.399,0.759,0.22,1.397,2.398,302.06
01 CRT24,,JY-29-198|002|24,6/17/2016 11:05,Batch,40.7,7.8155,102.3,1.65,3.168,0.682,0.264,1.397,2.343,296.78
01 CRT24,,JY-29-198|002|25,6/17/2016 11:05,Batch,40.7,7.6857,172.7,1.76,2.156,1.496,0.297,1.826,5.302,432.63
01 CRT24,,JY-29-198|002|26,6/17/2016 11:05,Batch,40.7,7.7253,167.2,1.87,1.98,0.891,0.55,1.738,4.972,419.98
01 CRT24,,JY-29-198|002|27,6/17/2016 11:05,Batch,40.7,6.5923,115.5,3.63,3.168,0.902,4.917,3.146,3.113,345.84
01 CRT24,,JY-29-198|002|28,6/17/2016 11:05,Batch,40.7,6.5516,115.5,3.41,2.904,0.451,4.686,3.102,2.882,343.09
01 CRT24,,JY-29-198|002|29,6/17/2016 11:05,Batch,40.7,7.7275,206.8,2.53,6.413,4.048,4.411,2.112,9.218,531.52
01 CRT24,,JY-29-198|002|30,6/17/2016 11:05,Batch,40.7,7.7561,204.6,2.53,6.358,4.224,3.685,2.145,9.383,527.78
01 CRT24,,JY-29-198|002|31,6/17/2016 11:05,Batch,40.7,7.2292,111.1,3.85,10.34,0,0,2.915,5.632,380.05
01 CRT24,,JY-29-198|002|32,6/17/2016 11:05,Batch,40.7,7.1885,111.1,3.85,10.516,0,0,2.882,5.676,380.71
