Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|002|1,6/10/2016 8:31,Batch,40.7,7.81,102.3,2.75,5.17,1.265,3.465,0,3.927,0
01 CRT24,,JY-29-198|002|3,6/10/2016 8:31,Batch,40.7,7.7616,103.4,2.75,5.379,0.968,4.18,1.353,3.982,315.7
01 CRT24,,JY-29-198|002|5,6/10/2016 8:31,Batch,40.7,7.7946,105.6,2.86,5.214,0,5.038,1.342,4.191,319.33
01 CRT24,,JY-29-198|002|7,6/10/2016 8:31,Batch,40.7,7.8276,106.7,2.86,5.247,0,5.797,1.331,4.466,321.97
01 CRT24,,JY-29-198|002|9,6/10/2016 8:31,Batch,40.7,7.8254,107.8,2.86,5.236,0,5.049,1.32,4.4,323.73
01 CRT24,,JY-29-198|002|11,6/10/2016 8:31,Batch,40.7,7.854,104.5,2.86,5.115,0,5.038,1.342,4.158,316.69
01 CRT24,,JY-29-198|002|13,6/10/2016 8:31,Batch,40.7,7.9002,104.5,2.86,5.071,0,5.225,1.331,4.081,316.25
01 CRT24,,JY-29-198|002|15,6/10/2016 8:31,Batch,40.7,7.9442,103.4,2.86,5.247,0,5.192,1.287,4.279,315.04
01 CRT24,,JY-29-198|002|17,6/10/2016 8:31,Batch,40.7,7.9398,106.7,2.86,5.192,0.462,4.334,1.331,4.422,321.64
01 CRT24,,JY-29-198|002|19,6/10/2016 9:07,Batch,40.7,7.799,100.1,2.75,5.005,0.539,4.719,0.605,3.894,299.09
01 CRT24,,JY-29-198|002|21,6/10/2016 9:07,Batch,40.7,7.5141,102.3,2.2,6.82,0.561,6.215,1.65,3.817,323.62
01 CRT24,,JY-29-198|002|23,6/10/2016 9:07,Batch,40.7,7.7913,103.4,2.75,5.511,0,5.632,1.375,4.334,317.35
01 CRT24,,JY-29-198|002|25,6/10/2016 9:07,Batch,40.7,7.7473,132,2.86,4.972,0,5.654,1.507,6.204,372.68
01 CRT24,,JY-29-198|002|27,6/10/2016 9:07,Batch,40.7,7.8738,107.8,3.08,5.61,0,0,1.595,5.225,330.77
01 CRT24,,JY-29-198|002|29,6/10/2016 9:07,Batch,40.7,7.6516,155.1,2.53,6.259,0.924,6.391,1.771,6.897,426.47
01 CRT24,,JY-29-198|002|31,6/10/2016 9:07,Batch,40.7,7.6725,108.9,2.31,6.787,0,0,1.87,4.136,339.02
