R^2=,0.994779,Chi^2 =,0.237058,Analyte=,,,,,,,,
Plate,Sample,Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,Plate Number,Sample Location,Sample ID,Sample Date,Project ID
170515,F7,Unknown,,0.257580476,1637.563802,,1.098788547,1,F7,N/A,5/8/2017,JY-29-198|006|22
170515,G7,Unknown,,0.228321601,1447.884798,,1.098826711,1,G7,N/A,5/8/2017,JY-29-198|006|23
170515,H7,Unknown,,0.235867035,1496.800225,,1.09886227,1,H7,N/A,5/8/2017,JY-29-198|006|24
170515,A8,Unknown,,0.110371986,746.0762481,,1.095288685,1,A8,N/A,5/8/2017,JY-29-198|006|25
170515,B8,Unknown,,0.134742719,880.2466736,,1.097343339,1,B8,N/A,5/8/2017,JY-29-198|006|26
170515,C8,Unknown,,0.148410247,955.4917676,,1.098195464,1,C8,N/A,5/8/2017,JY-29-198|006|27
170515,D8,Unknown,,0.138519467,901.039151,,1.098702769,1,D8,N/A,5/8/2017,JY-29-198|006|28
170515,E8,Unknown,,0.181218398,57.12624262,,1.09700484,1,E8,N/A,,
170515,F8,Unknown,,0.050601525,20.08347497,,1.095923544,1,F8,N/A,,
170515,G8,Unknown,,-1.32E-05,,,0.000261055,1,G8,N/A,,
170515,H8,Unknown,,-1.08E-04,,,0.020677155,1,H8,N/A,,
