R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160725,1,Unknown,,0.1747724,2751.87,,1.0985414,,,,7/20/2016,JY-29-198|003|1
160725,1,Unknown,,0.1732071,2729.98,,1.0987295,,,,7/20/2016,JY-29-198|003|2
160725,1,Unknown,,0.1700358,2686.42,,1.09879,,,,7/20/2016,JY-29-198|003|3
160725,1,Unknown,,0.1670647,2645.5,,1.0988076,,,,7/20/2016,JY-29-198|003|4
160725,1,Unknown,,0.1616472,2570.92,,1.0987922,,,,7/20/2016,JY-29-198|003|5
160725,1,Unknown,,0.1611269,2563.77,,1.0985744,,,,7/20/2016,JY-29-198|003|6
160725,1,Unknown,,0.1621631,2578.07,,1.0989209,,,,7/20/2016,JY-29-198|003|7
160725,1,Unknown,,0.1603096,2552.55,,1.0986734,,,,7/20/2016,JY-29-198|003|8
160725,2,Unknown,,0.1651441,2618.99,,1.0985524,,,,7/20/2016,JY-29-198|003|9
160725,2,Unknown,,0.163152,2591.6,,1.0987713,,,,7/20/2016,JY-29-198|003|10
160725,2,Unknown,,0.1555697,2487.32,,1.098328,,,,7/20/2016,JY-29-198|003|11
160725,2,Unknown,,0.1615405,2569.49,,1.0985722,,,,7/20/2016,JY-29-198|003|12
160725,2,Unknown,,0.1564915,2499.97,,1.0985139,,,,7/20/2016,JY-29-198|003|13
160725,2,Unknown,,0.1625932,2583.9,,1.0987273,,,,7/20/2016,JY-29-198|003|14
160725,2,Unknown,,0.1571152,2508.55,,1.0985458,,,,7/20/2016,JY-29-198|003|15
160725,2,Unknown,,0.1487123,2392.83,,1.0979441,,,,7/20/2016,JY-29-198|003|16
160725,3,Unknown,,0.1499905,2410.43,,1.0984721,,,,7/20/2016,JY-29-198|003|17
160725,3,Unknown,,0.1567247,2503.16,,1.0986833,,,,7/20/2016,JY-29-198|003|18
160725,3,Unknown,,0.1716484,2708.53,,1.098889,,,,7/20/2016,JY-29-198|003|19
160725,3,Unknown,,0.1636811,2598.86,,1.098933,,,,7/20/2016,JY-29-198|003|20
160725,3,Unknown,,0.1577983,2517.9,,1.098658,,,,7/20/2016,JY-29-198|003|21
160725,3,Unknown,,0.1714702,2706.11,,1.099032,,,,7/20/2016,JY-29-198|003|22
160725,3,Unknown,,0.1593713,2539.57,,1.0985447,,,,7/20/2016,JY-29-198|003|23
160725,3,Unknown,,0.1431771,2316.71,,1.0982939,,,,7/20/2016,JY-29-198|003|24
160725,4,Unknown,,0.1503205,2415.05,,1.0986239,,,,7/20/2016,JY-29-198|003|25
160725,4,Unknown,,0.1639869,2603.15,,1.0987009,,,,7/20/2016,JY-29-198|003|26
160725,4,Unknown,,0.1608618,2560.14,,1.0987944,,,,7/20/2016,JY-29-198|003|27
160725,4,Unknown,,0.1567049,2502.94,,1.0984116,,,,7/20/2016,JY-29-198|003|28
160725,4,Unknown,,0.1506065,2419.01,,1.0986448,,,,7/20/2016,JY-29-198|003|29
160725,4,Unknown,,0.1591084,2535.94,,1.0989088,,,,7/20/2016,JY-29-198|003|30
160725,4,Unknown,,0.2024055,3199.68,,1.098966,,,,7/22/2016,JY-29-198|003|1
