R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160725,4,Unknown,,0.1978977,3126.64,,1.0990397,,,,7/22/2016,JY-29-198|003|2
160725,5,Unknown,,0.1888282,2979.68,,1.098493,,,,7/22/2016,JY-29-198|003|3
160725,5,Unknown,,0.201443,3184.06,,1.0976196,,,,7/22/2016,JY-29-198|003|4
160725,5,Unknown,,0.1981221,3130.27,,1.0969772,,,,7/22/2016,JY-29-198|003|5
160725,5,Unknown,,0.1928971,3045.57,,1.0974799,,,,7/22/2016,JY-29-198|003|6
160725,5,Unknown,,0.2044372,3232.57,,1.0988527,,,,7/22/2016,JY-29-198|003|7
160725,5,Unknown,,0.2161368,3422.21,,1.0985931,,,,7/22/2016,JY-29-198|003|8
160725,5,Unknown,,0.1896609,2993.1,,1.0980145,,,,7/22/2016,JY-29-198|003|9
160725,5,Unknown,,0.1763058,2776.73,,1.0987383,,,,7/22/2016,JY-29-198|003|10
160725,6,Unknown,,0.1842841,2905.98,,1.0987625,,,,7/22/2016,JY-29-198|003|11
160725,6,Unknown,,0.2031744,3212.11,,1.0966087,,,,7/22/2016,JY-29-198|003|12
160725,6,Unknown,,0.2030325,3209.8,,1.0969662,,,,7/22/2016,JY-29-198|003|13
160725,6,Unknown,,0.190212,3002.12,,1.0976735,,,,7/22/2016,JY-29-198|003|14
160725,6,Unknown,,0.1873322,2955.37,,1.0973094,,,,7/22/2016,JY-29-198|003|15
160725,6,Unknown,,0.2074028,3280.64,,1.0975228,,,,7/22/2016,JY-29-198|003|16
160725,6,Unknown,,0.2029467,3208.48,,1.0980343,,,,7/22/2016,JY-29-198|003|17
160725,6,Unknown,,0.1903176,3003.77,,1.0989022,,,,7/22/2016,JY-29-198|003|18
160725,7,Unknown,,0.1764477,2779.04,,1.0977901,,,,7/22/2016,JY-29-198|003|19
160725,7,Unknown,,0.2023791,3199.24,,1.0974029,,,,7/22/2016,JY-29-198|003|20
160725,7,Unknown,,0.1940543,3064.38,,1.0975866,,,,7/22/2016,JY-29-198|003|21
160725,7,Unknown,,0.190707,3010.15,,1.0974392,,,,7/22/2016,JY-29-198|003|22
160725,7,Unknown,,0.179729,2832.17,,1.097525,,,,7/22/2016,JY-29-198|003|23
160725,7,Unknown,,0.1942556,3067.57,,1.0977648,,,,7/22/2016,JY-29-198|003|24
160725,7,Unknown,,0.1887897,2979.02,,1.0979441,,,,7/22/2016,JY-29-198|003|25
160725,7,Unknown,,0.1682923,2662.33,,1.0984864,,,,7/22/2016,JY-29-198|003|26
160725,8,Unknown,,0.1765148,2780.03,,1.0965207,,,,7/22/2016,JY-29-198|003|27
160725,8,Unknown,,0.1899095,2997.17,,1.0965614,,,,7/22/2016,JY-29-198|003|28
160725,8,Unknown,,0.1919214,3029.73,,1.0970278,,,,7/22/2016,JY-29-198|003|29
160725,8,Unknown,,0.1873685,2956.03,,1.0973094,,,,7/22/2016,JY-29-198|003|30
