R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160614,8,Unknown,,0.2839408,1816.98,,1.0979265,,,,6/13/2016,JY-29-198|002|23
160614,8,Unknown,,0.2809653,1796.63,,1.0983049,,,,6/13/2016,JY-29-198|002|24
160614,9,Unknown,,0.3236112,2087.91,,1.0986162,,,,6/13/2016,JY-29-198|002|25
160614,9,Unknown,,0.3004837,1929.95,,1.0990815,,,,6/13/2016,JY-29-198|002|26
160614,9,Unknown,,0.3086204,1985.5,,1.0991739,,,,6/13/2016,JY-29-198|002|27
160614,9,Unknown,,0.2947802,1891.01,,1.0990265,,,,6/13/2016,JY-29-198|002|28
160614,9,Unknown,,0.3357904,2171.07,,1.099098,,,,6/13/2016,JY-29-198|002|29
160614,9,Unknown,,0.337458,2182.4,,1.0992234,,,,6/13/2016,JY-29-198|002|30
160614,9,Unknown,,0.3069011,1973.73,,1.0992025,,,,6/13/2016,JY-29-198|002|31
160614,10,Unknown,,0.3170783,2043.25,,1.0970971,,,,6/13/2016,JY-29-198|002|32
