R^2=,0.994779,Chi^2 =,0.118529,Analyte=,,,,,,,,
Plate,Sample,Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,Plate Number,Sample Location,Sample ID,Sample Date,Project ID
170515,A1,Unknown,,0.118671143,1979.415887,,1.09818205,1,A1,N/A,5/10/2017,JY-29-198|006|1
170515,B1,Unknown,,0.1187217,1980.111727,,1.099021574,1,B1,N/A,5/10/2017,JY-29-198|006|2
170515,C1,Unknown,,0.11928705,1987.892917,,1.098656459,1,C1,N/A,5/10/2017,JY-29-198|006|3
170515,D1,Unknown,,0.125309247,2070.779295,,1.098553491,1,D1,N/A,5/10/2017,JY-29-198|006|4
170515,E1,Unknown,,0.137613816,2240.132969,,1.097923164,1,E1,N/A,5/10/2017,JY-29-198|006|5
170515,F1,Unknown,,0.130948662,2148.397259,,1.098631013,1,F1,N/A,5/10/2017,JY-29-198|006|6
170515,G1,Unknown,,0.116490636,1949.404521,,1.095880454,1,G1,N/A,5/10/2017,JY-29-198|006|7
170515,H1,Unknown,,0.108939126,1845.469484,,1.085193172,1,H1,N/A,5/10/2017,JY-29-198|006|8
170515,A2,Unknown,,0.140623223,2281.55289,,1.097757269,1,A2,N/A,5/10/2017,JY-29-198|006|9
170515,B2,Unknown,,0.149546651,2404.370299,,1.098587721,1,B2,N/A,5/10/2017,JY-29-198|006|10
170515,C2,Unknown,,0.151584569,2432.419131,,1.097193435,1,C2,N/A,5/10/2017,JY-29-198|006|11
170515,D2,Unknown,,0.143776136,2324.947925,,1.097596102,1,D2,N/A,5/10/2017,JY-29-198|006|12
170515,E2,Unknown,,0.151466871,2430.799196,,1.098027982,1,E2,N/A,5/10/2017,JY-29-198|006|13
170515,F2,Unknown,,0.144341318,2332.726793,,1.098470228,1,F2,N/A,5/10/2017,JY-29-198|006|14
170515,G2,Unknown,,0.132357063,2167.781766,,1.098120896,1,G2,N/A,5/10/2017,JY-29-198|006|15
170515,H2,Unknown,,0.142475517,2307.046889,,1.098807724,1,H2,N/A,5/10/2017,JY-29-198|006|16
170515,A3,Unknown,,0.130235875,2138.586832,,1.098640769,1,A3,N/A,5/10/2017,JY-29-198|006|17
170515,B3,Unknown,,0.145122238,2343.474969,,1.098011671,1,B3,N/A,5/10/2017,JY-29-198|006|18
170515,C3,Unknown,,0.137003241,2231.729327,,1.098941894,1,C3,N/A,5/10/2017,JY-29-198|006|19
170515,D3,Unknown,,0.141185326,2289.289371,,1.09874609,1,D3,N/A,5/10/2017,JY-29-198|006|20
170515,E3,Unknown,,0.149454462,2403.10146,,1.098594587,1,E3,N/A,5/10/2017,JY-29-198|006|21
170515,F3,Unknown,,0.161641731,2570.840672,,1.098699292,1,F3,N/A,5/10/2017,JY-29-198|006|22
170515,G3,Unknown,,0.132355902,2167.765778,,1.097553912,1,G3,N/A,5/10/2017,JY-29-198|006|23
170515,H3,Unknown,,0.131877235,2161.177656,,1.097704407,1,H3,N/A,5/10/2017,JY-29-198|006|24
170515,A4,Unknown,,0.143924474,2326.989583,,1.097306299,1,A4,N/A,5/12/2017,JY-29-198|006|1
170515,B4,Unknown,,0.168747175,2668.636307,,1.098731471,1,B4,N/A,5/12/2017,JY-29-198|006|2
170515,C4,Unknown,,0.153768612,2462.479151,,1.096597312,1,C4,N/A,5/12/2017,JY-29-198|006|3
170515,D4,Unknown,,0.147404861,2374.891811,,1.098259624,1,D4,N/A,5/12/2017,JY-29-198|006|4
170515,E4,Unknown,,0.165583992,2625.099895,,1.098606728,1,E4,N/A,5/12/2017,JY-29-198|006|5
170515,F4,Unknown,,0.173961919,2740.409317,,1.098411776,1,F4,N/A,5/12/2017,JY-29-198|006|6
170515,G4,Unknown,,0.163709632,2599.302177,,1.098342043,1,G4,N/A,5/12/2017,JY-29-198|006|7
170515,H4,Unknown,,0.153873196,2463.918607,,1.098627962,1,H4,N/A,5/12/2017,JY-29-198|006|8
170515,A5,Unknown,,0.151095644,2425.689814,,1.098081238,1,A5,N/A,5/12/2017,JY-29-198|006|9
170515,B5,Unknown,,0.173438155,2733.200504,,1.098665882,1,B5,N/A,5/12/2017,JY-29-198|006|10
170515,C5,Unknown,,0.15089749,2422.962524,,1.098780665,1,C5,N/A,5/12/2017,JY-29-198|006|11
170515,D5,Unknown,,0.167476924,2651.153218,,1.098935759,1,D5,N/A,5/12/2017,JY-29-198|006|12
170515,E5,Unknown,,0.167438537,2650.624895,,1.09867972,1,E5,N/A,5/12/2017,JY-29-198|006|13
170515,F5,Unknown,,0.183138962,2887.438628,,1.099073066,1,F5,N/A,5/12/2017,JY-29-198|006|14
170515,G5,Unknown,,0.157001314,2506.972387,,1.098345195,1,G5,N/A,5/12/2017,JY-29-198|006|15
170515,H5,Unknown,,0.165783164,2627.841187,,1.098474601,1,H5,N/A,5/12/2017,JY-29-198|006|16
170515,A6,Unknown,,0.139607961,2267.579333,,1.097028522,1,A6,N/A,5/12/2017,JY-29-198|006|17
170515,B6,Unknown,,0.156659903,2502.273382,,1.097843867,1,B6,N/A,5/12/2017,JY-29-198|006|18
170515,C6,Unknown,,0.153247153,2455.302071,,1.098486629,1,C6,N/A,5/12/2017,JY-29-198|006|19
170515,D6,Unknown,,0.143954814,2327.407166,,1.098152817,1,D6,N/A,5/12/2017,JY-29-198|006|20
170515,E6,Unknown,,0.170620781,2694.423637,,1.098502258,1,E6,N/A,5/12/2017,JY-29-198|006|21
170515,F6,Unknown,,0.182862832,2882.963414,,1.098745049,1,F6,N/A,5/12/2017,JY-29-198|006|22
170515,G6,Unknown,,0.155286394,2483.369115,,1.098246875,1,G6,N/A,5/12/2017,JY-29-198|006|23
170515,H6,Unknown,,0.153666675,2461.076151,,1.09509122,1,H6,N/A,5/12/2017,JY-29-198|006|24
170515,A7,Unknown,,0.169040562,2672.674314,,1.097419865,1,A7,N/A,5/14/2017,JY-29-198|006|1
170515,B7,Unknown,,0.172496245,2720.236539,,1.098194866,1,B7,N/A,5/14/2017,JY-29-198|006|2
170515,C7,Unknown,,0.162788731,2586.627375,,1.098057561,1,C7,N/A,5/14/2017,JY-29-198|006|3
170515,D7,Unknown,,0.15598122,2492.932345,,1.097519537,1,D7,N/A,5/14/2017,JY-29-198|006|4
170515,E7,Unknown,,0.171847772,2711.311296,,1.098450529,1,E7,N/A,5/14/2017,JY-29-198|006|5
170515,F7,Unknown,,0.173029644,2727.577969,,1.098618788,1,F7,N/A,5/14/2017,JY-29-198|006|6
170515,G7,Unknown,,0.165165954,2619.346238,,1.096877337,1,G7,N/A,5/14/2017,JY-29-198|006|7
170515,H7,Unknown,,0.155893793,2491.729038,,1.098644592,1,H7,N/A,5/14/2017,JY-29-198|006|8
170515,A8,Unknown,,0.177957025,2803.455188,,1.097728998,1,A8,N/A,5/14/2017,JY-29-198|006|9
170515,B8,Unknown,,0.181644967,2863.225512,,1.098551139,1,B8,N/A,5/14/2017,JY-29-198|006|10
170515,C8,Unknown,,0.158369752,2525.806863,,1.097898539,1,C8,N/A,5/14/2017,JY-29-198|006|11
170515,D8,Unknown,,0.158940774,2533.666112,,1.09779255,1,D8,N/A,5/14/2017,JY-29-198|006|12
170515,E8,Unknown,,0.176827622,2785.150995,,1.097691582,1,E8,N/A,5/14/2017,JY-29-198|006|13
170515,F8,Unknown,,0.175884788,2769.870506,,1.097189008,1,F8,N/A,5/14/2017,JY-29-198|006|14
170515,G8,Unknown,,0.168907422,2670.841858,,1.098370084,1,G8,N/A,5/14/2017,JY-29-198|006|15
170515,H8,Unknown,,0.139609092,2267.594901,,1.090966732,1,H8,N/A,5/14/2017,JY-29-198|006|16
170515,A9,Unknown,,0.183247902,2889.204233,,1.096508051,1,A9,N/A,5/14/2017,JY-29-198|006|17
170515,B9,Unknown,,0.187574544,2959.325963,,1.097543197,1,B9,N/A,5/14/2017,JY-29-198|006|18
170515,C9,Unknown,,0.158431261,2526.653437,,1.098084769,1,C9,N/A,5/14/2017,JY-29-198|006|19
170515,D9,Unknown,,0.165734252,2627.167995,,1.097682264,1,D9,N/A,5/14/2017,JY-29-198|006|20
170515,E9,Unknown,,0.184522075,2909.854695,,1.09714976,1,E9,N/A,5/14/2017,JY-29-198|006|21
170515,F9,Unknown,,0.192592139,3040.645929,,1.098133728,1,F9,N/A,5/14/2017,JY-29-198|006|22
170515,G9,Unknown,,0.164075698,2604.340508,,1.09865925,1,G9,N/A,5/14/2017,JY-29-198|006|23
170515,H9,Unknown,,0.149562646,2404.590447,,1.09750197,1,H9,N/A,5/14/2017,JY-29-198|006|24
170515,A10,Unknown,,-6.56E-05,,,0.007562498,1,A10,N/A,,
170515,B10,Unknown,,-0.000295299,,,0.120089507,1,B10,N/A,,
170515,C10,Unknown,,-0.000130824,,,0.025617332,1,C10,N/A,,
170515,D10,Unknown,,0.118196233,39.45758963,,1.097386103,1,D10,N/A,,
170515,E10,Unknown,,0.05570244,21.64964503,,1.097552097,1,E10,N/A,,
170515,F10,Unknown,,-0.000148132,,,0.035533145,1,F10,N/A,,
170515,G10,Unknown,,-7.17E-05,,,0.005537936,1,G10,N/A,,
170515,H10,Unknown,,-1.43E-05,,,0.000313336,1,H10,N/A,,
