R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160719,5,Unknown,,0.2907003,1863.07,,1.0994533,,,,7/18/2016,JY-29-198|003|6
160719,5,Unknown,,0.3007543,1931.71,,1.0994335,,,,7/18/2016,JY-29-198|003|7
160719,5,Unknown,,0.3031611,1948.21,,1.0994984,,,,7/18/2016,JY-29-198|003|8
160719,5,Unknown,,0.29227,1873.85,,1.0992795,,,,7/18/2016,JY-29-198|003|9
160719,5,Unknown,,0.2794308,1786.18,,1.0991145,,,,7/18/2016,JY-29-198|003|10
160719,6,Unknown,,0.2890305,1851.74,,1.0993763,,,,7/18/2016,JY-29-198|003|11
160719,6,Unknown,,0.2894529,1854.6,,1.0991332,,,,7/18/2016,JY-29-198|003|12
160719,6,Unknown,,0.2889678,1851.3,,1.0991002,,,,7/18/2016,JY-29-198|003|13
160719,6,Unknown,,0.2962476,1901.02,,1.0993741,,,,7/18/2016,JY-29-198|003|14
160719,6,Unknown,,0.2772583,1771.33,,1.0992795,,,,7/18/2016,JY-29-198|003|15
160719,6,Unknown,,0.2802866,1792.01,,1.099439,,,,7/18/2016,JY-29-198|003|16
160719,6,Unknown,,0.2831378,1811.48,,1.0991926,,,,7/18/2016,JY-29-198|003|17
160719,6,Unknown,,0.2790557,1783.54,,1.0982279,,,,7/18/2016,JY-29-198|003|18
160719,7,Unknown,,0.2729551,1741.96,,1.09637,,,,7/18/2016,JY-29-198|003|19
160719,7,Unknown,,0.2961662,1900.47,,1.0974997,,,,7/18/2016,JY-29-198|003|20
160719,7,Unknown,,0.2883144,1846.79,,1.0982477,,,,7/18/2016,JY-29-198|003|21
160719,7,Unknown,,0.2921259,1872.86,,1.0984259,,,,7/18/2016,JY-29-198|003|22
160719,7,Unknown,,0.2992627,1921.59,,1.0992696,,,,7/18/2016,JY-29-198|003|23
160719,7,Unknown,,0.2966953,1903.99,,1.099505,,,,7/18/2016,JY-29-198|003|24
160719,7,Unknown,,0.2782725,1778.26,,1.0985942,,,,7/18/2016,JY-29-198|003|25
160719,7,Unknown,,0.2737141,1747.13,,1.0977846,,,,7/18/2016,JY-29-198|003|26
160719,8,Unknown,,0.2881472,1845.69,,1.0966945,,,,7/18/2016,JY-29-198|003|27
160719,8,Unknown,,0.289982,1858.23,,1.0966901,,,,7/18/2016,JY-29-198|003|28
160719,8,Unknown,,0.296362,1901.79,,1.0971037,,,,7/18/2016,JY-29-198|003|29
160719,8,Unknown,,0.2818013,1802.35,,1.0975525,,,,7/18/2016,JY-29-198|003|30
