R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160719,1,Unknown,,0.1395878,906.95,,1.0985172,,,,7/15/2016,JY-29-198|003|1
160719,1,Unknown,,0.1347049,880,,1.0982664,,,,7/15/2016,JY-29-198|003|2
160719,1,Unknown,,0.1401345,909.92,,1.0982884,,,,7/15/2016,JY-29-198|003|3
160719,1,Unknown,,0.1305513,857.12,,1.0984776,,,,7/15/2016,JY-29-198|003|4
160719,1,Unknown,,0.1401752,910.14,,1.0984237,,,,7/15/2016,JY-29-198|003|5
160719,1,Unknown,,0.1292236,849.86,,1.0984523,,,,7/15/2016,JY-29-198|003|6
160719,1,Unknown,,0.137742,896.72,,1.0985293,,,,7/15/2016,JY-29-198|003|7
160719,1,Unknown,,0.1380214,898.26,,1.0982411,,,,7/15/2016,JY-29-198|003|8
160719,2,Unknown,,0.1436358,929.17,,1.098493,,,,7/15/2016,JY-29-198|003|9
160719,2,Unknown,,0.1432101,926.86,,1.0982235,,,,7/15/2016,JY-29-198|003|10
160719,2,Unknown,,0.1434763,928.29,,1.0983225,,,,7/15/2016,JY-29-198|003|11
160719,2,Unknown,,0.1395702,906.84,,1.0983984,,,,7/15/2016,JY-29-198|003|12
160719,2,Unknown,,0.1424929,922.9,,1.0986426,,,,7/15/2016,JY-29-198|003|13
160719,2,Unknown,,0.1436809,929.5,,1.0983302,,,,7/15/2016,JY-29-198|003|14
160719,2,Unknown,,0.1268575,836.88,,1.0981278,,,,7/15/2016,JY-29-198|003|15
160719,2,Unknown,,0.121913,809.6,,1.0977846,,,,7/15/2016,JY-29-198|003|16
160719,3,Unknown,,0.1380687,898.59,,1.0986591,,,,7/15/2016,JY-29-198|003|17
160719,3,Unknown,,0.1436578,929.28,,1.0984171,,,,7/15/2016,JY-29-198|003|18
160719,3,Unknown,,0.1500708,964.59,,1.0985216,,,,7/15/2016,JY-29-198|003|19
160719,3,Unknown,,0.1414842,917.4,,1.0985601,,,,7/15/2016,JY-29-198|003|20
160719,3,Unknown,,0.1436072,929.06,,1.0986096,,,,7/15/2016,JY-29-198|003|21
160719,3,Unknown,,0.1437865,930.05,,1.0986294,,,,7/15/2016,JY-29-198|003|22
160719,3,Unknown,,0.1402786,910.69,,1.098031,,,,7/15/2016,JY-29-198|003|23
160719,3,Unknown,,0.1374769,895.29,,1.0969024,,,,7/15/2016,JY-29-198|003|24
160719,4,Unknown,,0.1478081,952.16,,1.0987493,,,,7/15/2016,JY-29-198|003|25
160719,4,Unknown,,0.1451934,937.75,,1.0985986,,,,7/15/2016,JY-29-198|003|26
160719,4,Unknown,,0.1460899,942.7,,1.0987372,,,,7/15/2016,JY-29-198|003|27
160719,4,Unknown,,0.1396274,907.17,,1.0982873,,,,7/15/2016,JY-29-198|003|28
160719,4,Unknown,,0.1372712,894.19,,1.0986041,,,,7/15/2016,JY-29-198|003|29
160719,4,Unknown,,0.1417592,918.83,,1.0987262,,,,7/15/2016,JY-29-198|003|30
160719,4,Unknown,,0.2881736,1845.8,,1.0992388,,,,7/18/2016,JY-29-198|003|1
160719,4,Unknown,,0.2813085,1798.94,,1.0990342,,,,7/18/2016,JY-29-198|003|2
160719,5,Unknown,,0.3061608,1968.67,,1.0993829,,,,7/18/2016,JY-29-198|003|3
160719,5,Unknown,,0.3079175,1980.66,,1.0991717,,,,7/18/2016,JY-29-198|003|4
160719,5,Unknown,,0.2954721,1895.74,,1.099296,,,,7/18/2016,JY-29-198|003|5
